Cohort years,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£),group_type
2014/15,Prefer not to say/NA,4936.339715918526,9938776.15724482,18068301.23748092,117693.04877732116,665087.5179179013,15969.88964452253,1716274.492445683,456790.2917314184,34147522.80956885,sex
2015/16,Female,9777.862841469048,68577033.19792384,41483521.97702091,752782.3057362915,4796863.637716368,113048.41094034373,18193854.948894285,5273209.650050736,63800005.4923886,sex
2015/16,Male,14645.101610165835,63591005.407350674,77486590.72446464,1534256.2884912696,1594934.6322963852,172490.72407015398,6077178.791985229,1710361.713194718,79771532.98991263,sex
2015/16,Other/trans,384.5325750093907,1092117.6857364848,2781802.9840285643,18740.470316696916,34320.762262311575,1614.1803577854846,583570.6444962106,125730.57270176293,1342003.6632066395,sex
2015/16,Prefer not to say/NA,2797.1615873789415,4519897.989554044,19531029.95810475,87052.52827482448,554970.5928297731,31273.706015345433,1761221.727018707,1780397.6213792074,27331520.38336302,sex
2016/17,Female,3028.786388989911,27861422.877961237,47911161.02584897,630846.0560744405,4082792.1046123654,432697.721346975,6987766.3406439265,3517082.665211674,110180646.56038491,sex
2016/17,Male,12502.594605675713,42697903.317575224,66636060.38780565,1132154.1779339765,4356573.448743058,225214.53818767576,28134581.007417176,1555472.379347605,158837738.84487018,sex
2016/17,Other/trans,179.01786223612729,1467570.1308392498,2035605.1471999253,10201.914258552715,67521.51591045075,11903.036076783445,528934.8331948261,27627.563384710615,1229088.7359960391,sex
2016/17,Prefer not to say/NA,2713.4490454319866,7927655.279622164,8554983.299108421,75195.7275704384,2018794.9236808568,64573.96406781271,6351708.996582709,2563662.738956947,24833498.99065842,sex
2017/18,Female,10155.913455778362,63977903.89617214,45372120.40031309,98148.11359909456,2318186.3692620853,282197.0756818279,15795974.8570344,3050697.96229467,142531417.4064869,sex
2017/18,Male,6719.336173787713,52829609.516026504,43017277.69563538,3147194.2574441736,2757448.849189397,439031.9103868909,11993695.373673555,5212252.532979339,75870263.02612738,sex
2017/18,Other/trans,375.022831633687,1728508.2789920382,964265.1717321108,28906.48076993879,99074.48706612662,10319.251166724873,633282.4210882914,134550.06783184723,4132703.0499327923,sex
2017/18,Prefer not to say/NA,6305.920415695757,2866675.8621729347,24778499.89645509,280970.07918744814,391381.7999183748,223806.60187975518,1395743.5427684856,1194272.5295691753,13987428.7841918,sex
2018/19,Female,13634.680075861887,13750675.6308852,63379204.31913835,227793.23664223705,2857833.700012695,432237.71021446283,8765375.111892236,2949901.501562753,118774129.98423353,sex
2018/19,Male,17116.824299627915,61695843.833246626,69102639.73297545,2677878.3696058276,3307480.9052626546,847378.7363512474,24100576.494512837,8295125.658974658,156958956.92321238,sex
2018/19,Other/trans,234.8259309740737,745685.4706884016,2978310.4126246595,10909.365320768953,162189.79606660324,25944.166840785376,147941.35196730203,68221.1036765466,2785565.0739322584,sex
2018/19,Prefer not to say/NA,5947.434871353209,13567535.514034009,20969710.512783166,255305.36577549577,1064140.0939182686,181041.14500943126,5200978.804496628,1085673.2865658512,42327280.91275007,sex
2019/20,Female,2341.619382107258,24446978.31169888,65600104.386201486,237243.1267964684,903768.8627682746,528789.5520364336,21441404.863104206,3517250.2660561586,59824554.86150879,sex
2019/20,Male,8937.701031072065,31264094.054761168,41763047.02691134,1950280.4337016707,4802697.048178329,712162.7773347979,14244252.930436632,3951154.0994785912,126549966.29542366,sex
2019/20,Other/trans,328.8108793057501,325595.15865628974,965609.1212417649,22601.569298842922,56602.69770981744,22889.80348545563,433195.1960507329,16095.726518308747,2761854.721008174,sex
2019/20,Prefer not to say/NA,2404.5297759417444,7548816.091158588,8856311.231764266,210502.48128024116,534464.8470420745,143236.43130075786,9498530.601856345,2126602.3705172646,27884854.855430454,sex
2020/21,Female,2541.33634828683,18314716.961139906,59925756.23238037,349414.9049464334,2759271.546141724,357888.67388660775,13688071.562962824,1526492.4688119518,26209019.91918552,sex
2020/21,Male,11938.69379259646,23653923.359595824,21838554.802209295,2178522.989649273,2994390.447811098,335978.8128954055,8255541.304950933,5553047.549832867,16894883.724438816,sex
2020/21,Other/trans,118.52064673602581,167180.68544584516,969353.2736282191,3844.4362914476546,92892.09607522935,9982.904026799644,394871.20084439527,102122.74607465578,1396814.43026699,sex
2020/21,Prefer not to say/NA,1944.8392945636065,9471948.452547451,20064342.360949025,164832.34293231182,1236652.9788341734,229864.77733288868,1348797.6989502928,2522432.943839446,7363707.178698388,sex
2021/22,Female,10410.5738188304,53439150.18971471,90572026.1991396,346153.2161771329,4101778.0192273054,1004404.8475154485,17677938.59939641,4374985.800158573,83507672.99261269,sex
2021/22,Male,5749.450952499733,37007885.28105953,82101770.50616808,795732.0726315035,1337171.2967853546,248211.80202205444,8030527.128109404,5150938.243434653,52086700.548959464,sex
2021/22,Other/trans,102.74900499153883,992816.4587597384,2254424.6976914513,22082.00079661012,126351.67654139176,15940.413013679192,995432.2231533752,154473.0548181073,4252890.66557364,sex
2021/22,Prefer not to say/NA,3466.7594306843357,2832829.4408342945,8402854.044245344,47747.791045704114,488416.8869408644,206451.41635072778,3872980.066740533,836865.4797300986,17969571.976733685,sex
2022/23,Female,11467.356019613146,41077039.577617966,38848133.62154836,119128.93067987487,3411081.777295228,286635.4756021516,13364864.011212612,6749385.007724532,117842604.04531507,sex
2022/23,Male,10594.47246296797,38346218.34048497,71935604.24149804,730089.1085386813,4396206.954418212,609975.3285908444,19172745.950350963,1675286.395066575,23315551.808816273,sex
2022/23,Other/trans,128.7393435742706,1011053.5443174888,2370663.3317844914,17476.749923676252,120437.86181635503,37210.488954305816,1113152.8629901628,151443.08578035363,1273353.1692035797,sex
2022/23,Prefer not to say/NA,2975.3583939375353,6936742.735969853,11763424.691427207,60169.444884860524,1067875.9684942847,372882.30673901126,10530682.346372493,517590.40358528483,7396200.139264119,sex
2023/24,Female,10829.507135538384,38432671.06159998,116797085.57852776,114441.3785426706,3125071.292108914,1224288.8607037407,6279660.090557763,3850464.717955515,160436155.0266287,sex
2023/24,Male,9704.73377541639,35045370.67651198,59853159.76753976,215807.320207892,3017072.556209573,1184570.1050313488,22834730.29621408,5812573.623164686,113378812.42704138,sex
2023/24,Other/trans,685.3920128848404,1160055.2431425683,2307487.9261525515,18713.72157284394,293347.68513632566,100553.38412470801,162724.3406534814,94413.13363823776,4442027.208936414,sex
2023/24,Prefer not to say/NA,2761.88878258206,8537040.76905545,3006458.8283968675,44040.384545911846,413066.7823120812,188152.9837330263,2795329.793121735,440248.35695962736,19113922.11059288,sex
2024/25,Female,2049.8833747141066,40170481.13752243,15031682.697008379,268316.470283873,5762588.6559447665,1099980.8410192933,12520635.25133306,8880893.903177598,39697108.42224536,sex
2024/25,Male,2336.671706081182,15151827.986933663,9784700.560082484,865183.2791942246,669643.5851988316,1159022.395984911,21188274.298601132,8546322.385705883,37050959.31237181,sex
2024/25,Other/trans,663.513281929493,1251694.2966036412,3634430.179853214,16749.526863199284,285167.0017154161,104833.16800142509,247642.10593470413,285227.56251125416,2290713.408571843,sex
2024/25,Prefer not to say/NA,942.5616636279972,5326919.438230007,11469179.701526728,45220.35952712931,148123.34695521873,311596.8054826556,1649261.9555120908,285669.07278688316,14536240.412353218,sex
2025/26,Female,1512.6729507520795,29305592.450063292,39715539.4772057,56433.27313626799,2716309.221589021,369045.797818837,NA,NA,37906880.47964049,sex
2025/26,Male,1942.8556200273335,9570440.296324192,19813992.78448934,293499.2725790067,2323836.6857274715,260345.69377843587,NA,NA,18713337.607313693,sex
2025/26,Other/trans,297.64252419881524,422495.2295655164,1096787.2425646465,11440.099643787742,168913.98112013025,9417.16367620473,NA,NA,2300014.91772341,sex
2025/26,Prefer not to say/NA,536.6217344161123,3591684.7402396845,5309653.077781123,7761.406952491403,199680.9142379109,53485.4307903333,NA,NA,2723688.3084163335,sex
2026/27,Female,1665.6839095935227,5884804.8419837905,16315368.712824635,69226.7283331141,1262586.3167834245,NA,NA,NA,11890681.454902062,sex
2026/27,Male,1091.5777905106545,4490245.646973872,11358579.582377706,227004.76381493956,577631.0883247107,NA,NA,NA,2465586.6137054223,sex
2026/27,Other/trans,99.79882227368654,118621.29705690347,820000.4398490321,1468.0904866531491,51905.636509883036,NA,NA,NA,436081.18895502045,sex
2026/27,Prefer not to say/NA,173.0663044631481,304854.65074072825,542163.7760800871,7121.99019481726,39224.279965437956,NA,NA,NA,905864.4390417013,sex
2027/28,Female,225.39064273834228,1482320.9729141751,3521999.104633077,3324.2629073876888,305921.08508306445,NA,NA,NA,4090127.93919612,sex
2027/28,Male,58.20672756712884,2414766.356210288,1004157.6391853705,48771.41927623898,51251.25619477034,NA,NA,NA,1316596.9748008968,sex
2027/28,Other/trans,4.607430202886462,84852.08334861347,18803.147637613736,1261.9674949422479,14252.796104927547,NA,NA,NA,171890.88942600938,sex
2027/28,Prefer not to say/NA,21.39119186811149,90719.14496630042,74132.083043005,1846.766578851454,22400.71481011659,NA,NA,NA,154015.21693465151,sex
2014/15,18-24,12667.955769692919,60388782.67513444,147388064.2317672,2616120.996824499,5558912.836812184,252992.40613448896,43601987.59047173,6330711.546400826,49908775.40738666,age group
2014/15,25-34,4592.904455910996,18404140.786302462,15043520.039735595,699282.8789241537,1570299.4720727927,119553.0354500476,2158212.3425683603,399615.40201830794,76632060.59511372,age group
2015/16,18-24,24938.363120583446,72335102.33891122,162398165.84568653,1077091.1319679369,4088841.52949874,289662.5345324839,36198766.3938476,5493100.773065183,223830564.61323705,age group
2015/16,25-34,1842.5206029541791,26021058.213645246,79697841.96020226,842462.3488741956,2136120.4817242846,91730.18819190896,7871608.844547441,2698955.4370542285,143002480.69259,age group
2016/17,18-24,24491.930888777973,24705588.800063934,149902155.60522774,2469109.581433146,3419375.499053217,208224.21112718273,11000078.333697753,6595682.535810073,78125970.10926795,age group
2016/17,25-34,6633.2490462474525,8823093.683692213,23345573.785603847,363170.4611480711,4061548.5793019757,118423.81599321218,3247653.5450856863,2750544.274272948,116801211.82341748,age group
2017/18,18-24,11098.231538289598,78877731.4223205,94102436.8813722,616504.0816402491,5348157.293592185,527878.2025886278,10999690.663081912,3128332.94186429,208397023.93112993,age group
2017/18,25-34,1859.6656065344812,52700970.9326104,17817913.14568413,1126075.1170048758,4597282.529033522,91742.976853076,6208153.420519558,1044067.2108720414,100924031.81254376,age group
2018/19,18-24,26686.168680052087,55179756.10697291,41565644.82706802,2413155.8848208324,4090225.1142972354,389594.61222046224,54413840.937299214,16424708.297663374,88929276.55304225,age group
2018/19,25-34,4097.0718591637915,61691294.6354035,86357437.96184656,1021269.8353499561,2280994.3852152633,193268.86730065144,2792545.86666553,478373.70657611446,87413896.95816284,age group
2019/20,18-24,21887.718033956924,42663968.56613654,57569934.58538463,1324445.3996721425,1097400.0104401167,1080062.3839091763,63043342.70652195,7170379.10245845,211347986.2683432,age group
2019/20,25-34,7707.882250331529,46178008.22935367,50707310.80011931,1137175.8132979632,1998303.5264673529,364199.96701844904,3648916.599958295,522398.76865574776,83135806.22310029,age group
2019/20,35-44,0.5960118612274528,1034.0012518354506,2667.112672653487,0,26.168068400770427,55.99474149982548,-6.318081762181292,234.79488839951117,477.5090437391601,age group
2020/21,18-24,4652.090320174769,32749672.596157134,83741880.76895715,1365916.2442004958,6085790.827343919,961872.3128819981,19906749.573730048,7339646.0329456795,64520205.44488272,age group
2020/21,25-34,6170.433470634744,6501474.692906612,84996651.88905102,482404.98943747475,2051858.5520438557,748616.3659781009,1780403.3675817903,1445661.3229316694,22339846.571248315,age group
2020/21,35-44,0.2911492839455605,2016.1762437396685,6622.403103779722,0,137.55908387340605,82.86036220851696,-177.22905441901503,104.64488633880349,9128.283613559539,age group
2021/22,18-24,10375.87206909433,26391852.999021526,57634349.38975768,1641052.1367403285,6427166.4445939055,675228.1264565255,41221185.8818103,7502815.183194658,51386703.946438134,age group
2021/22,25-34,5156.590845446289,15228773.521956654,86785955.63436434,778377.8669533874,3524891.2552742646,396279.5083922217,1030537.2213966973,1424361.0365598255,41626893.27503674,age group
2021/22,35-44,0.1944860190153122,3024.19310833524,2545.5806098718663,0,208.38790513202548,38.291634801552284,NA,NA,1605.7568529625808,age group
2022/23,18-24,12095.095550685004,20335249.078763947,105252428.8135828,175932.2088054316,2398546.053446263,1794447.0167106444,57157684.90947471,8012728.587966745,211189140.07616854,age group
2022/23,25-34,5423.028205186129,30842740.148138884,39708706.14744121,405038.70334690256,2977711.6858785693,667873.4907410392,2207729.05152572,1334968.2691962968,106889484.7741688,age group
2022/23,35-44,0,1531.000586654246,2621.6855788494927,0,180.17585874330254,0,NA,NA,1550.9894209878985,age group
2023/24,18-24,2868.5261930700394,31714868.00292962,38940969.25368482,795499.3656872795,5702831.9402900925,2643162.6763171726,31632167.436707325,16959348.642013278,54957979.77658824,age group
2023/24,25-34,8802.334388576448,38545499.376006186,26074259.01087835,109743.63452585117,1556452.1647141033,663096.5883101706,1612453.244557975,2271137.073904015,17196195.291072395,age group
2023/24,35-44,0.6826343705877662,2857.7257166677623,5483.380249423161,0,219.79037918429822,47.28917111393133,-142.65481214820878,366.6299192738149,4038.0185557693076,age group
2024/25,18-24,11362.325158834457,13028463.952009322,18044274.27184663,833299.7112814587,1030818.4454064326,1452731.6451219772,45625173.63834501,3535544.71638493,118134292.43822764,age group
2024/25,25-34,6921.988946154714,27664703.694606353,17025171.468656924,188938.55497152245,2507587.548658526,1032308.5726011859,1972290.948722748,1886087.9406867467,59356621.792752706,age group
2024/25,35-44,2.3505105385556817,1866.3859016493338,9545.88993706353,0,314.84713426977396,307.64497354859486,314.15658387939885,327.4038921155161,13370.090462995491,age group
2025/26,18-24,6053.569840383343,22677927.81158274,10413793.575622903,153918.07299811093,2569471.776183058,741948.3096736014,NA,NA,27272751.07153095,age group
2025/26,25-34,2531.7904841667046,24650464.791247956,20228285.004091334,51900.52466674894,2128373.126231108,222330.7766815476,NA,NA,5722815.867880877,age group
2025/26,35-44,0.8875018136575819,2287.6319400863727,4288.735267100557,0,246.5341606974602,98.4336192670025,NA,NA,6707.833727422307,age group
2026/27,18-24,1050.3362318184227,4494204.340514791,4028248.788564583,70281.99363819323,302548.72566628794,NA,NA,NA,11333827.443885129,age group
2026/27,25-34,338.1121234705672,6389044.379131404,13061099.352923768,46821.12533141021,1046584.4382588654,NA,NA,NA,13553420.4942043,age group
2026/27,35-44,0.702165892161429,507.3181545305346,4761.747098500105,0,188.45282872822136,NA,NA,NA,5085.388522907048,age group
2027/28,18-24,434.65763188973074,2846428.892273026,2753272.1671057483,36578.730926495235,111353.1057596393,NA,NA,NA,2088691.8291744122,age group
2027/28,25-34,167.54089838862419,481023.19179533195,1330591.5140814723,16239.458528805524,355480.2848216303,NA,NA,NA,1067518.1959668135,age group
2027/28,35-44,0,887.0141594064049,1386.4161273512989,0,62.43824846483767,NA,NA,NA,283.95076402813197,age group
2014/15,1,2278.8030435059222,8035359.990681928,46816351.79944783,585322.4647770297,2166778.5752768167,79574.00880882899,1468533.5681432404,2972154.109972719,75910619.50412995,imd decile
2014/15,2,6222.399799417704,21509054.650310382,40668446.17098763,751602.7505605039,1175178.0558432983,16601.922083216898,3316792.7784186,2351080.167218753,40941113.955026336,imd decile
2014/15,3,671.6380329318345,24789630.084756605,11617234.069791187,240312.4740206916,1815470.2510389327,68615.58341215152,1798245.036084728,264294.3402633675,17375650.14371786,imd decile
2014/15,4,3740.7401997674256,13326910.283114377,29181505.039122313,369715.946891812,247012.6111515161,14512.15794937361,1058046.3945626477,1033173.5817986703,36510518.91790374,imd decile
2014/15,5,2681.4644395051523,7286213.660196629,3631098.765132984,94967.37830847,900316.636573444,33439.47784884667,3931186.0354354847,529448.6728435152,15318542.251932567,imd decile
2014/15,6,1407.538499530591,10321681.58515434,14847972.03034363,162708.87615122943,536769.1773942733,13151.473457192682,612020.4524671314,952726.6984054418,20088239.61972245,imd decile
2014/15,7,1628.5939327439294,8154116.967652184,11185787.786316914,50277.763957807794,934929.8426152371,26269.66952225006,2525982.0378507967,733134.2186090586,9091259.878906382,imd decile
2014/15,8,1042.0384275674821,2826438.355274866,1925652.5275597721,49653.17046440169,369454.0460948221,23211.51735319168,2915230.982611381,564688.7272257064,18667705.196188305,imd decile
2014/15,9,303.55058931857354,1510829.126946024,3784037.468248071,113293.08209362776,621083.4274625123,16539.15801301666,536877.1003270488,140803.52834524444,4762802.056370872,imd decile
2014/15,10,953.5597987860441,5165905.146555612,4535056.19801386,58380.46265058741,319497.0217816923,17616.39888365514,1857295.8111133564,338864.5736156344,2081347.3891841986,imd decile
2014/15,NA,377.6003596760333,0,0,36234.30178891756,0,5922.358452325654,656799.7844786583,56969.37274977345,181035.00059080595,imd decile
2015/16,1,4724.634813835286,22264263.157534193,39337777.63843916,277304.845392634,3207023.6758394,116046.76593927428,12292498.765960649,1276689.0413414135,13416020.479612332,imd decile
2015/16,2,6637.941462598742,25035589.523315247,49174242.50747702,643816.4703796065,2000570.8040755051,46806.404516668175,4266291.192083625,1206334.973501708,62306379.6564778,imd decile
2015/16,3,5164.1431099604815,18670366.25996788,12997908.336356953,99268.34940503203,474123.6048966766,84311.77562623107,3812175.1884545013,317733.59238529386,30202059.86281325,imd decile
2015/16,4,1129.3388151545078,12857971.403437223,19076795.821037326,429916.1478210043,690997.3765875231,40172.53144927861,856534.3232631076,1714198.6032819005,18160665.8929404,imd decile
2015/16,5,3053.9485111301765,6528648.3664333355,8909072.307866264,150065.26061842628,300889.1963774555,18788.700938293972,2852901.9082327033,492590.71754800185,27858774.652935326,imd decile
2015/16,6,1718.4304559743032,8816771.013057886,18281203.72033803,217481.35877149925,664625.7646514347,18462.201858806904,3237647.614973302,893574.6449017253,5471759.364333039,imd decile
2015/16,7,1177.719426946342,4684465.643452736,7858765.450975708,95124.66072276775,558333.8020188377,7241.954026704267,1692892.6574423544,969947.1175817252,20435541.03772282,imd decile
2015/16,8,596.7007831379772,3391302.3679452552,15181984.001808153,181043.0309109673,485233.68988721137,18747.512894363615,2592308.6645947625,426855.51893436245,3782337.581951439,imd decile
2015/16,9,779.8426114276052,5260767.475648608,11981690.391098121,25253.8554707665,145272.3949794978,4022.5527424718293,759232.18518278,275910.19032879267,13043242.66771858,imd decile
2015/16,10,1118.8675227435306,4212842.552453745,13070089.176592201,91600.46324565168,425374.2443063956,18501.860340954303,534136.631612092,532886.650837871,5317047.206709865,imd decile
2015/16,NA,483.7605197273195,0,0,62961.41174590401,0,1614.2177383936425,437059.3307409933,69376.34230770078,545490.9782539449,imd decile
2016/17,1,2621.2218936175104,6489469.0802257545,18644571.532566287,820523.8089723352,1937972.8971561096,379302.703604526,9382605.849992119,1796375.9951526225,68948624.54674499,imd decile
2016/17,2,5149.141864735633,16872045.57897096,7391160.222263644,279077.50116091035,1318295.7154273991,171189.00209828146,2973996.369714536,1585849.4355643538,60350552.69489878,imd decile
2016/17,3,1538.4942326299847,7557204.6959158555,19696824.946861174,515572.65818771423,1160014.9299794252,49105.75435258669,5835913.4200466415,1549006.454385612,36463333.00737524,imd decile
2016/17,4,1356.5074038505554,2875058.438876505,14210448.859651394,416514.5073664002,1881728.5994721004,130468.00907206522,1658639.608069307,503376.13625769195,10158383.276989358,imd decile
2016/17,5,1641.523070862517,11308184.81567793,7932726.9771343935,207080.19639060405,335435.9772193562,107764.0462392118,4139088.707156224,511055.51797291177,4617735.432319106,imd decile
2016/17,6,1702.5569442892447,4703063.352879089,20444892.694977336,110436.53134839237,794373.8937193773,28178.383609782886,2027968.3820055674,1083832.33659945,27520803.453154862,imd decile
2016/17,7,276.67035696432,8945251.926266404,4879184.864870684,85269.15665028337,736764.8967906956,24935.647784571152,770143.2005481533,166208.73647282086,19509414.671904314,imd decile
2016/17,8,413.4673774493858,6305158.827631601,9921506.07553723,35060.739624683934,633534.1380461656,86033.96564939797,3185913.0806190446,412826.66318537557,20441198.41732041,imd decile
2016/17,9,551.9572990981862,2272012.6661610017,8126719.1423841715,17034.565147535875,514461.714866546,13817.827965571005,1892772.59501041,380112.5287900846,9909118.095170304,imd decile
2016/17,10,702.3057457819581,6362685.572515283,8887061.934661597,125296.95275081768,383184.6797431951,9830.04648702804,1071880.833326406,105479.56664374981,10632659.18800244,imd decile
2016/17,NA,397.77462901249527,0,0,58552.85404887572,0,13147.392268318852,294860.4564930758,156239.60497544485,680645.7733202873,imd decile
2017/18,1,2291.8883932355793,12193825.206860427,39888294.927020624,798218.107647568,2535422.8132961392,487065.52726973995,8831837.452934619,1155334.6885781107,21620906.156375527,imd decile
2017/18,2,3619.2079945933074,18324913.51087302,19189373.755898923,746852.1692773998,2197766.685071281,369453.06743490434,1717975.6861064574,3096233.5382371945,31992295.516946074,imd decile
2017/18,3,4972.53462957833,14717489.268413015,40549823.06680665,157733.6385215586,2151083.579240053,59104.37509671128,1479221.4586739857,1115253.1601124287,37749776.86867343,imd decile
2017/18,4,1602.1367073502395,8164672.941355435,6850650.162297279,199314.85708212294,1517290.0233486756,209239.60033431146,7173543.3720499,713658.5040532484,25802441.900240485,imd decile
2017/18,5,911.8757686480881,6476642.138500671,11952655.274722133,252519.43089135364,210492.9119043069,125240.73091214859,2484145.905597097,901589.2815218396,14595802.888556095,imd decile
2017/18,6,1552.8041008934379,9046532.80266766,15742574.970799372,225631.7227627136,550363.0544891965,83744.45546821528,3730018.944119888,1101231.8586968514,21269885.767168555,imd decile
2017/18,7,1068.2870359629394,1789289.2561897973,2168834.226423143,110506.78692491539,462097.28266390716,19321.07015499194,2177730.2691048603,347973.39152740553,3455468.110800346,imd decile
2017/18,8,1996.6838540891185,4004767.884738613,11280905.84986296,58525.91844389923,708294.1283799742,74230.12520480096,530617.0672214915,960439.4528554222,7327794.777112063,imd decile
2017/18,9,1657.1130370467902,2847734.889139704,7287229.968150662,22575.120448831844,92622.86822291167,14517.73843036765,2323234.81324384,272363.07022326434,16704506.053646734,imd decile
2017/18,10,791.7053402606398,2006129.6142472038,10062344.40645852,49798.98169047274,301979.97130781267,21836.969422742906,574820.7327979509,676236.2602118945,16562404.810148837,imd decile
2017/18,NA,201.0984854903072,0,0,51488.697147595885,0,16319.867009358173,828729.2655357327,82824.01121093723,1056071.791340954,imd decile
2018/19,1,5682.378382534348,4152882.8389644776,32885892.056862555,314190.1277992148,2453425.2672662656,139397.82111150827,5732589.839440482,706786.5616385294,32586059.939291723,imd decile
2018/19,2,1330.7219971368088,11551376.3353047,40776167.136639014,257145.18056595625,1318384.7660296597,295389.55947193917,2798516.121752413,2569238.187455247,62968718.23804761,imd decile
2018/19,3,901.0013146681713,10539275.303787025,33546953.944276866,155806.159387064,2275966.2509549265,317962.1040019861,9630905.867369529,1806739.3782369648,7321032.443901066,imd decile
2018/19,4,2745.336662224308,14121887.082050724,10318452.348385941,385764.96869454294,1569132.2483858867,249551.31348335577,4792143.111720747,765154.2292115417,15113766.291048529,imd decile
2018/19,5,2880.625829878449,8337657.181430519,16028116.051040413,317084.4469588481,410338.0905478638,186172.72236985486,5468082.209225032,1605583.7524612863,25103784.681147765,imd decile
2018/19,6,1943.7341713026167,9515625.048342718,15955364.604108749,69837.02363285274,938593.876662341,44905.49072718054,1503492.1508493493,398576.79783831805,19930897.16395707,imd decile
2018/19,7,694.9640657998622,5386615.419256842,7996569.702501716,125926.618057679,754517.4197225103,91363.10983769193,1976250.0739889075,1012957.3734026394,11576748.131080473,imd decile
2018/19,8,1413.021675873734,2781440.4981539734,11946435.450041909,190406.21894787738,154225.95893992487,60581.34613782395,2556371.732700839,185944.30281999195,7503895.580979081,imd decile
2018/19,9,820.0094472542405,3693838.256445793,10363892.3037029,23754.958530128002,183642.01015809886,47747.73642534995,1712498.8063783024,733031.2640173839,12876689.07924121,imd decile
2018/19,10,492.2208907783031,1969222.111728487,11083845.154183842,88860.10824673307,191861.26868550386,14587.554548029484,346661.0736983314,532718.713986371,11745319.69274252,imd decile
2018/19,NA,422.41068858206273,0,0,28516.327380323783,0,8512.01173276365,187113.26082928397,159142.4609455889,956107.9834519322,imd decile
2019/20,1,4277.215901556425,22198564.423204996,28104820.65482603,582656.4081159136,1503828.2096199482,119651.33998712913,7199156.407073608,1319232.6640772498,59202285.75385536,imd decile
2019/20,2,2440.545508056879,7180651.468897746,7917107.185897436,614316.5684378862,1786933.338048242,154497.63155199724,8256680.430576513,2677215.7637222437,25138056.522716988,imd decile
2019/20,3,1022.3932221695782,4062177.579952606,19338637.195438206,462682.8816816213,1050951.9517678483,162757.5263839617,8205044.029119898,731429.308552575,52002078.414602526,imd decile
